Community,Country,Year,Crop,Ordering,kg/ha Bracket,Count
Birchenough,Zimbabwe,2022/23,ABE,001,0-999 kg/ha,9.00
Birchenough,Zimbabwe,2022/23,ABE,002,1000-1999 kg/ha,6.00
Birchenough,Zimbabwe,2022/23,ABE,003,2000-2999 kg/ha,10.00
Birchenough,Zimbabwe,2022/23,ABE,004,3000-3999 kg/ha,22.00
Birchenough,Zimbabwe,2022/23,ABE,005,4000-4999 kg/ha,17.00
Birchenough,Zimbabwe,2022/23,ABE,006,5000-5999 kg/ha,29.00
Birchenough,Zimbabwe,2022/23,ABE,007,6000-6999 kg/ha,24.00
Birchenough,Zimbabwe,2022/23,ABE,008,7000-7999 kg/ha,26.00
Birchenough,Zimbabwe,2022/23,ABE,009,8000-8999 kg/ha,28.00
Birchenough,Zimbabwe,2022/23,ABE,010,9000-9999 kg/ha,24.00
Birchenough,Zimbabwe,2022/23,ABE,011,10000+ kg/ha,70.00
Ruware,Zimbabwe,2022/23,ABE,012,0-999 kg/ha,11.00
Ruware,Zimbabwe,2022/23,ABE,013,1000-1999 kg/ha,11.00
Ruware,Zimbabwe,2022/23,ABE,014,2000-2999 kg/ha,18.00
Ruware,Zimbabwe,2022/23,ABE,015,3000-3999 kg/ha,16.00
Ruware,Zimbabwe,2022/23,ABE,016,4000-4999 kg/ha,15.00
Ruware,Zimbabwe,2022/23,ABE,017,5000-5999 kg/ha,11.00
Ruware,Zimbabwe,2022/23,ABE,018,6000-6999 kg/ha,12.00
Ruware,Zimbabwe,2022/23,ABE,019,7000-7999 kg/ha,7.00
Ruware,Zimbabwe,2022/23,ABE,020,8000-8999 kg/ha,6.00
Ruware,Zimbabwe,2022/23,ABE,021,9000-9999 kg/ha,3.00
Ruware,Zimbabwe,2022/23,ABE,022,10000+ kg/ha,8.00
Zaka,Zimbabwe,2022/23,ABE,023,0-999 kg/ha,10.00
Zaka,Zimbabwe,2022/23,ABE,024,1000-1999 kg/ha,16.00
Zaka,Zimbabwe,2022/23,ABE,025,2000-2999 kg/ha,26.00
Zaka,Zimbabwe,2022/23,ABE,026,3000-3999 kg/ha,21.00
Zaka,Zimbabwe,2022/23,ABE,027,4000-4999 kg/ha,18.00
Zaka,Zimbabwe,2022/23,ABE,028,5000-5999 kg/ha,19.00
Zaka,Zimbabwe,2022/23,ABE,029,6000-6999 kg/ha,21.00
Zaka,Zimbabwe,2022/23,ABE,030,7000-7999 kg/ha,16.00
Zaka,Zimbabwe,2022/23,ABE,031,8000-8999 kg/ha,9.00
Zaka,Zimbabwe,2022/23,ABE,032,9000-9999 kg/ha,8.00
Zaka,Zimbabwe,2022/23,ABE,033,10000+ kg/ha,13.00