Community,Country,Year,Crop,Ordering,Gross Income Bracket,Count
Birchenough,Zimbabwe,2022/23,ABE,001,Net loss,46.00
Birchenough,Zimbabwe,2022/23,ABE,002,$0-99,30.00
Birchenough,Zimbabwe,2022/23,ABE,003,$100-199,25.00
Birchenough,Zimbabwe,2022/23,ABE,004,$200-299,33.00
Birchenough,Zimbabwe,2022/23,ABE,005,$300-399,27.00
Birchenough,Zimbabwe,2022/23,ABE,006,$400-499,11.00
Birchenough,Zimbabwe,2022/23,ABE,007,$500-599,20.00
Birchenough,Zimbabwe,2022/23,ABE,008,$600-699,10.00
Birchenough,Zimbabwe,2022/23,ABE,009,$700-799,17.00
Birchenough,Zimbabwe,2022/23,ABE,010,$800-899,10.00
Birchenough,Zimbabwe,2022/23,ABE,011,$900-999,4.00
Birchenough,Zimbabwe,2022/23,ABE,012,$1000-1099,3.00
Birchenough,Zimbabwe,2022/23,ABE,013,$1100-1199,9.00
Birchenough,Zimbabwe,2022/23,ABE,014,$1200-1299,3.00
Birchenough,Zimbabwe,2022/23,ABE,015,$1300-1399,3.00
Birchenough,Zimbabwe,2022/23,ABE,016,$1400-1499,2.00
Birchenough,Zimbabwe,2022/23,ABE,017,$1500-1599,2.00
Birchenough,Zimbabwe,2022/23,ABE,018,$1600-1699,0.00
Birchenough,Zimbabwe,2022/23,ABE,019,$1700-1799,0.00
Birchenough,Zimbabwe,2022/23,ABE,020,$1800-1899,2.00
Birchenough,Zimbabwe,2022/23,ABE,021,$1900-1999,1.00
Birchenough,Zimbabwe,2022/23,ABE,022,$2000+,7.00
Ruware,Zimbabwe,2022/23,ABE,023,Net loss,28.00
Ruware,Zimbabwe,2022/23,ABE,024,$0-99,9.00
Ruware,Zimbabwe,2022/23,ABE,025,$100-199,17.00
Ruware,Zimbabwe,2022/23,ABE,026,$200-299,18.00
Ruware,Zimbabwe,2022/23,ABE,027,$300-399,10.00
Ruware,Zimbabwe,2022/23,ABE,028,$400-499,8.00
Ruware,Zimbabwe,2022/23,ABE,029,$500-599,7.00
Ruware,Zimbabwe,2022/23,ABE,030,$600-699,7.00
Ruware,Zimbabwe,2022/23,ABE,031,$700-799,2.00
Ruware,Zimbabwe,2022/23,ABE,032,$800-899,2.00
Ruware,Zimbabwe,2022/23,ABE,033,$900-999,1.00
Ruware,Zimbabwe,2022/23,ABE,034,$1000-1099,0.00
Ruware,Zimbabwe,2022/23,ABE,035,$1100-1199,3.00
Ruware,Zimbabwe,2022/23,ABE,036,$1200-1299,1.00
Ruware,Zimbabwe,2022/23,ABE,037,$1300-1399,1.00
Ruware,Zimbabwe,2022/23,ABE,038,$1400-1499,0.00
Ruware,Zimbabwe,2022/23,ABE,039,$1500-1599,1.00
Ruware,Zimbabwe,2022/23,ABE,040,$1600-1699,1.00
Ruware,Zimbabwe,2022/23,ABE,041,$1700-1799,0.00
Ruware,Zimbabwe,2022/23,ABE,042,$1800-1899,0.00
Ruware,Zimbabwe,2022/23,ABE,043,$1900-1999,0.00
Ruware,Zimbabwe,2022/23,ABE,044,$2000+,2.00
Zaka,Zimbabwe,2022/23,ABE,045,Net loss,35.00
Zaka,Zimbabwe,2022/23,ABE,046,$0-99,25.00
Zaka,Zimbabwe,2022/23,ABE,047,$100-199,15.00
Zaka,Zimbabwe,2022/23,ABE,048,$200-299,19.00
Zaka,Zimbabwe,2022/23,ABE,049,$300-399,20.00
Zaka,Zimbabwe,2022/23,ABE,050,$400-499,17.00
Zaka,Zimbabwe,2022/23,ABE,051,$500-599,9.00
Zaka,Zimbabwe,2022/23,ABE,052,$600-699,12.00
Zaka,Zimbabwe,2022/23,ABE,053,$700-799,5.00
Zaka,Zimbabwe,2022/23,ABE,054,$800-899,5.00
Zaka,Zimbabwe,2022/23,ABE,055,$900-999,3.00
Zaka,Zimbabwe,2022/23,ABE,056,$1000-1099,1.00
Zaka,Zimbabwe,2022/23,ABE,057,$1100-1199,2.00
Zaka,Zimbabwe,2022/23,ABE,058,$1200-1299,2.00
Zaka,Zimbabwe,2022/23,ABE,059,$1300-1399,3.00
Zaka,Zimbabwe,2022/23,ABE,060,$1400-1499,0.00
Zaka,Zimbabwe,2022/23,ABE,061,$1500-1599,0.00
Zaka,Zimbabwe,2022/23,ABE,062,$1600-1699,0.00
Zaka,Zimbabwe,2022/23,ABE,063,$1700-1799,1.00
Zaka,Zimbabwe,2022/23,ABE,064,$1800-1899,0.00
Zaka,Zimbabwe,2022/23,ABE,065,$1900-1999,0.00
Zaka,Zimbabwe,2022/23,ABE,066,$2000+,3.00