Community,Country,Year,Crop,Ordering,Age Group,Count
Birchenough,Zimbabwe,2022/23,ABE,001,0-9 y/o,0.00
Birchenough,Zimbabwe,2022/23,ABE,002,10-19 y/o,0.00
Birchenough,Zimbabwe,2022/23,ABE,003,20-29 y/o,11.00
Birchenough,Zimbabwe,2022/23,ABE,004,30-39 y/o,47.00
Birchenough,Zimbabwe,2022/23,ABE,005,40-49 y/o,81.00
Birchenough,Zimbabwe,2022/23,ABE,006,50-59 y/o,51.00
Birchenough,Zimbabwe,2022/23,ABE,007,60-69 y/o,38.00
Birchenough,Zimbabwe,2022/23,ABE,008,70-79 y/o,11.00
Birchenough,Zimbabwe,2022/23,ABE,009,80-89 y/o,2.00
Birchenough,Zimbabwe,2022/23,ABE,010,90-99 y/o,0.00
Birchenough,Zimbabwe,2022/23,ABE,011,100+ y/o,0.00
Ruware,Zimbabwe,2022/23,ABE,012,0-9 y/o,0.00
Ruware,Zimbabwe,2022/23,ABE,013,10-19 y/o,1.00
Ruware,Zimbabwe,2022/23,ABE,014,20-29 y/o,21.00
Ruware,Zimbabwe,2022/23,ABE,015,30-39 y/o,28.00
Ruware,Zimbabwe,2022/23,ABE,016,40-49 y/o,40.00
Ruware,Zimbabwe,2022/23,ABE,017,50-59 y/o,20.00
Ruware,Zimbabwe,2022/23,ABE,018,60-69 y/o,4.00
Ruware,Zimbabwe,2022/23,ABE,019,70-79 y/o,2.00
Ruware,Zimbabwe,2022/23,ABE,020,80-89 y/o,0.00
Ruware,Zimbabwe,2022/23,ABE,021,90-99 y/o,0.00
Ruware,Zimbabwe,2022/23,ABE,022,100+ y/o,0.00
Zaka,Zimbabwe,2022/23,ABE,023,0-9 y/o,0.00
Zaka,Zimbabwe,2022/23,ABE,024,10-19 y/o,0.00
Zaka,Zimbabwe,2022/23,ABE,025,20-29 y/o,11.00
Zaka,Zimbabwe,2022/23,ABE,026,30-39 y/o,30.00
Zaka,Zimbabwe,2022/23,ABE,027,40-49 y/o,45.00
Zaka,Zimbabwe,2022/23,ABE,028,50-59 y/o,34.00
Zaka,Zimbabwe,2022/23,ABE,029,60-69 y/o,22.00
Zaka,Zimbabwe,2022/23,ABE,030,70-79 y/o,8.00
Zaka,Zimbabwe,2022/23,ABE,031,80-89 y/o,1.00
Zaka,Zimbabwe,2022/23,ABE,032,90-99 y/o,1.00
Zaka,Zimbabwe,2022/23,ABE,033,100+ y/o,0.00