Community,Country,Year,Crop,Ordering,Fresh Yield Bracket,Count
Birchenough,Zimbabwe,2022/23,ABE,001,0-499 kg,36.00
Birchenough,Zimbabwe,2022/23,ABE,002,500-999 kg,82.00
Birchenough,Zimbabwe,2022/23,ABE,003,1000-1499 kg,63.00
Birchenough,Zimbabwe,2022/23,ABE,004,1500-1999 kg,40.00
Birchenough,Zimbabwe,2022/23,ABE,005,2000-2499 kg,16.00
Birchenough,Zimbabwe,2022/23,ABE,006,2500+ kg,28.00
Ruware,Zimbabwe,2022/23,ABE,007,0-499 kg,34.00
Ruware,Zimbabwe,2022/23,ABE,008,500-999 kg,46.00
Ruware,Zimbabwe,2022/23,ABE,009,1000-1499 kg,25.00
Ruware,Zimbabwe,2022/23,ABE,010,1500-1999 kg,4.00
Ruware,Zimbabwe,2022/23,ABE,011,2000-2499 kg,5.00
Ruware,Zimbabwe,2022/23,ABE,012,2500+ kg,4.00
Zaka,Zimbabwe,2022/23,ABE,013,0-499 kg,48.00
Zaka,Zimbabwe,2022/23,ABE,014,500-999 kg,62.00
Zaka,Zimbabwe,2022/23,ABE,015,1000-1499 kg,45.00
Zaka,Zimbabwe,2022/23,ABE,016,1500-1999 kg,10.00
Zaka,Zimbabwe,2022/23,ABE,017,2000-2499 kg,7.00
Zaka,Zimbabwe,2022/23,ABE,018,2500+ kg,5.00