Year,Country,Community,Crop,Other crops grown,Count
2022/23,Zimbabwe,Birchenough,ABE,Bananas,0.00
2022/23,Zimbabwe,Birchenough,ABE,Beans,6.00
2022/23,Zimbabwe,Birchenough,ABE,Cabbage,2.00
2022/23,Zimbabwe,Birchenough,ABE,Cotton,0.00
2022/23,Zimbabwe,Birchenough,ABE,Ground nuts,9.00
2022/23,Zimbabwe,Birchenough,ABE,Maize,16.00
2022/23,Zimbabwe,Birchenough,ABE,Okra,1.00
2022/23,Zimbabwe,Birchenough,ABE,Onions,2.00
2022/23,Zimbabwe,Birchenough,ABE,Potatoes,0.00
2022/23,Zimbabwe,Birchenough,ABE,Round nuts,0.00
2022/23,Zimbabwe,Birchenough,ABE,Sesame,0.00
2022/23,Zimbabwe,Birchenough,ABE,Sorghum,0.00
2022/23,Zimbabwe,Birchenough,ABE,Spinach,0.00
2022/23,Zimbabwe,Birchenough,ABE,Sweet potatoes,0.00
2022/23,Zimbabwe,Birchenough,ABE,Tobacco,0.00
2022/23,Zimbabwe,Birchenough,ABE,Tomatoes,10.00
2022/23,Zimbabwe,Birchenough,ABE,Wheat,3.00
2022/23,Zimbabwe,Birchenough,ABE,Other,2.00
2022/23,Zimbabwe,Ruware,ABE,Bananas,0.00
2022/23,Zimbabwe,Ruware,ABE,Beans,16.00
2022/23,Zimbabwe,Ruware,ABE,Cabbage,1.00
2022/23,Zimbabwe,Ruware,ABE,Cotton,7.00
2022/23,Zimbabwe,Ruware,ABE,Ground nuts,1.00
2022/23,Zimbabwe,Ruware,ABE,Maize,18.00
2022/23,Zimbabwe,Ruware,ABE,Okra,0.00
2022/23,Zimbabwe,Ruware,ABE,Onions,1.00
2022/23,Zimbabwe,Ruware,ABE,Potatoes,0.00
2022/23,Zimbabwe,Ruware,ABE,Round nuts,0.00
2022/23,Zimbabwe,Ruware,ABE,Sesame,2.00
2022/23,Zimbabwe,Ruware,ABE,Sorghum,0.00
2022/23,Zimbabwe,Ruware,ABE,Spinach,0.00
2022/23,Zimbabwe,Ruware,ABE,Sweet potatoes,0.00
2022/23,Zimbabwe,Ruware,ABE,Tobacco,0.00
2022/23,Zimbabwe,Ruware,ABE,Tomatoes,3.00
2022/23,Zimbabwe,Ruware,ABE,Wheat,2.00
2022/23,Zimbabwe,Ruware,ABE,Other,1.00
2022/23,Zimbabwe,Zaka,ABE,Bananas,0.00
2022/23,Zimbabwe,Zaka,ABE,Beans,17.00
2022/23,Zimbabwe,Zaka,ABE,Cabbage,3.00
2022/23,Zimbabwe,Zaka,ABE,Cotton,0.00
2022/23,Zimbabwe,Zaka,ABE,Ground nuts,14.00
2022/23,Zimbabwe,Zaka,ABE,Maize,18.00
2022/23,Zimbabwe,Zaka,ABE,Okra,1.00
2022/23,Zimbabwe,Zaka,ABE,Onions,1.00
2022/23,Zimbabwe,Zaka,ABE,Potatoes,0.00
2022/23,Zimbabwe,Zaka,ABE,Round nuts,1.00
2022/23,Zimbabwe,Zaka,ABE,Sesame,0.00
2022/23,Zimbabwe,Zaka,ABE,Sorghum,1.00
2022/23,Zimbabwe,Zaka,ABE,Spinach,0.00
2022/23,Zimbabwe,Zaka,ABE,Sweet potatoes,1.00
2022/23,Zimbabwe,Zaka,ABE,Tobacco,0.00
2022/23,Zimbabwe,Zaka,ABE,Tomatoes,7.00
2022/23,Zimbabwe,Zaka,ABE,Wheat,10.00
2022/23,Zimbabwe,Zaka,ABE,Other,2.00