Year,Country,Community,Crop,Household size (incl. farmer),Count
2022/23,Zimbabwe,Birchenough,ABE,1-3 persons,4.00
2022/23,Zimbabwe,Birchenough,ABE,4-6 persons,7.00
2022/23,Zimbabwe,Birchenough,ABE,7-9 persons,5.00
2022/23,Zimbabwe,Birchenough,ABE,10+ persons,2.00
2022/23,Zimbabwe,Ruware,ABE,1-3 persons,1.00
2022/23,Zimbabwe,Ruware,ABE,4-6 persons,11.00
2022/23,Zimbabwe,Ruware,ABE,7-9 persons,9.00
2022/23,Zimbabwe,Ruware,ABE,10+ persons,0.00
2022/23,Zimbabwe,Zaka,ABE,1-3 persons,2.00
2022/23,Zimbabwe,Zaka,ABE,4-6 persons,13.00
2022/23,Zimbabwe,Zaka,ABE,7-9 persons,6.00
2022/23,Zimbabwe,Zaka,ABE,10+ persons,0.00