Year,Country,Community,Crop,No. of children,Count
2022/23,Zimbabwe,Birchenough,ABE,1-3 children,8.00
2022/23,Zimbabwe,Birchenough,ABE,4-6 children,9.00
2022/23,Zimbabwe,Birchenough,ABE,7-9 children,1.00
2022/23,Zimbabwe,Birchenough,ABE,10+ children,0.00
2022/23,Zimbabwe,Ruware,ABE,1-3 children,6.00
2022/23,Zimbabwe,Ruware,ABE,4-6 children,15.00
2022/23,Zimbabwe,Ruware,ABE,7-9 children,0.00
2022/23,Zimbabwe,Ruware,ABE,10+ children,0.00
2022/23,Zimbabwe,Zaka,ABE,1-3 children,8.00
2022/23,Zimbabwe,Zaka,ABE,4-6 children,12.00
2022/23,Zimbabwe,Zaka,ABE,7-9 children,1.00
2022/23,Zimbabwe,Zaka,ABE,10+ children,0.00