Year,Country,Community,Crop,Percentage of farmland used for CROP,Count
2022/23,Zimbabwe,Birchenough,ABE,0-24%,7.00
2022/23,Zimbabwe,Birchenough,ABE,25-49%,3.00
2022/23,Zimbabwe,Birchenough,ABE,50-74%,6.00
2022/23,Zimbabwe,Birchenough,ABE,75-100%,2.00
2022/23,Zimbabwe,Birchenough,ABE,N/A,0.00
2022/23,Zimbabwe,Ruware,ABE,0-24%,16.00
2022/23,Zimbabwe,Ruware,ABE,25-49%,2.00
2022/23,Zimbabwe,Ruware,ABE,50-74%,1.00
2022/23,Zimbabwe,Ruware,ABE,75-100%,0.00
2022/23,Zimbabwe,Ruware,ABE,N/A,1.00
2022/23,Zimbabwe,Zaka,ABE,0-24%,10.00
2022/23,Zimbabwe,Zaka,ABE,25-49%,5.00
2022/23,Zimbabwe,Zaka,ABE,50-74%,1.00
2022/23,Zimbabwe,Zaka,ABE,75-100%,2.00
2022/23,Zimbabwe,Zaka,ABE,N/A,3.00